regionName,scientificName,decimalLatitude,decimalLongitude,country,eventDate,kingdom,phylum,class,order,family,genus,species,datasetName
West Bengal (Bay of Bengal),"Ardeola grayii (Sykes, 1832)",23.462075,88.343675,India,2025-01-02T16:50:55,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola,Ardeola grayii,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Euthalia aconthea Cramer, 1779",22.510713,88.357251,India,2025-01-01T12:31:17,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Euthalia,Euthalia aconthea,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Euthalia aconthea Cramer, 1779",22.513745,88.356028,India,2025-01-01T11:20:51,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Euthalia,Euthalia aconthea,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Diplacodes trivialis (Rambur, 1842)",22.546572,88.360187,India,2025-01-05T15:38:51,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Diplacodes,Diplacodes trivialis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Bauhinia × blakeana Dunn,22.513046,88.362305,India,2025-01-01T11:08:38,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia blakeana,iNaturalist research-grade observations
West Bengal (Bay of Bengal),Urena lobata L.,22.362689,88.392778,India,2025-01-05T07:42:48,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Urena,Urena lobata,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Netta rufina (Pallas, 1773)",23.4581,88.352958,India,2025-01-02T15:32,Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,Netta rufina,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Dendrocygna javanica (Horsfield, 1821)",23.462851,88.350327,India,2025-01-02T18:03:13,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna javanica,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Axis axis (Erxleben, 1777)",21.988964,88.755356,India,2025-01-04T15:19:23,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Axis axis,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Zizeeria karsandra (Moore, 1865)",21.775127,87.727958,India,2025-01-02T14:38:41,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Zizeeria,Zizeeria karsandra,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Treron phoenicopterus (Latham, 1790)",22.663877,88.376439,India,2025-01-02T15:48,Animalia,Chordata,Aves,Columbiformes,Columbidae,Treron,Treron phoenicopterus,iNaturalist research-grade observations
West Bengal (Bay of Bengal),"Graphium doson (Felder & Felder, 1864)",22.512145,88.363695,India,2025-01-04T08:10:59,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Graphium,Graphium doson,iNaturalist research-grade observations
